wavelengths,power_meas,std_power_meas
420.0,6.3872380876e-08,4.1317922890926597e-11
421.0,6.381448699200001e-08,4.439550632544537e-11
422.0,6.3764793482e-08,5.051023571520277e-11
423.0,6.371857792800001e-08,4.866718309399485e-11
424.0,6.3671742509e-08,4.369412200070552e-11
425.0,6.3635839498e-08,4.5566580063007976e-11
426.0,6.3588257007e-08,4.7176622391337746e-11
427.0,6.3547880711e-08,4.579435081320522e-11
428.0,6.3516324222e-08,4.832350482454887e-11
429.0,6.34774392e-08,4.386302629606823e-11
430.0,6.344638066999999e-08,4.570722521529485e-11
431.0,6.3410228961e-08,4.6366463989395207e-11
432.0,6.338103204800001e-08,4.635985231913475e-11
433.0,6.3360286194e-08,4.709076756782063e-11
434.0,6.3342520491e-08,4.53402404560453e-11
435.0,6.332202233300001e-08,4.563496714518987e-11
436.0,6.331668004500002e-08,4.1939959078864707e-11
437.0,6.331208312300001e-08,4.692243705823195e-11
438.0,6.331245615700001e-08,4.55108141277019e-11
439.0,6.3319785548e-08,4.5023484435785874e-11
440.0,6.3328483014e-08,4.641417130003104e-11
441.0,6.333792485000001e-08,4.372536083156513e-11
442.0,6.3362398207e-08,4.667547823100913e-11
443.0,6.338215172e-08,4.80609045848902e-11
444.0,6.341221564e-08,4.637353933148619e-11
445.0,6.3449362534e-08,4.356274831564242e-11
446.0,6.348414785799999e-08,4.856862635531678e-11
447.0,6.352899632599999e-08,4.876750671116001e-11
448.0,6.357521201200001e-08,4.958084455786367e-11
449.0,6.362676927600001e-08,4.8611001870975616e-11
450.0,6.3682426228e-08,4.327929352627709e-11
451.0,6.375249497599999e-08,4.737154065183096e-11
452.0,6.382119593300001e-08,4.494337975934253e-11
453.0,6.3891761647e-08,4.591154430586649e-11
454.0,6.3965804737e-08,4.313250077705493e-11
455.0,6.404593634e-08,4.854698758139293e-11
456.0,6.4133645882e-08,4.559634007679166e-11
457.0,6.4222473808e-08,5.007691617424666e-11
458.0,6.4322606751e-08,4.6752402437501536e-11
459.0,6.4417521486e-08,4.8828392398884835e-11
460.0,6.452697207e-08,4.491381896446534e-11
461.0,6.4630955875e-08,4.651158814159305e-11
462.0,6.474475511800001e-08,4.051949425315181e-11
463.0,6.4857684094e-08,4.694627683371805e-11
464.0,6.497396697000001e-08,4.929467535785238e-11
465.0,6.509671081399998e-08,4.515567872328548e-11
466.0,6.520914198e-08,4.475468712996592e-11
467.0,6.533076771e-08,4.6077878288935274e-11
468.0,6.546034399e-08,4.7648560453165626e-11
469.0,6.5588305905e-08,4.565661753366504e-11
470.0,6.570881282600001e-08,4.387075983296604e-11
471.0,6.5837642753e-08,4.424007414695268e-11
472.0,6.596722115899999e-08,4.318981021551866e-11
473.0,6.609058531e-08,4.6070421562096936e-11
474.0,6.6222273467e-08,4.283423180075367e-11
475.0,6.6348868445e-08,4.525666126825882e-11
476.0,6.6473475898e-08,4.750033097933595e-11
477.0,6.660007129899999e-08,4.1977391643834504e-11
478.0,6.6724678055e-08,4.5157884707054725e-11
479.0,6.683971890500001e-08,4.586450036628127e-11
480.0,6.6961469262e-08,4.567668257442664e-11
481.0,6.707352867200001e-08,4.8154926051385994e-11
482.0,6.7187949071e-08,4.5658428947841853e-11
483.0,6.729578388199999e-08,4.270717158720513e-11
484.0,6.7406476636e-08,4.5680740171150885e-11
485.0,6.7503131333e-08,4.9090309757462405e-11
486.0,6.760090385500002e-08,4.456161072358102e-11
487.0,6.7700663065e-08,4.6596098380329376e-11
488.0,6.7789243443e-08,4.6264366828957316e-11
489.0,6.7869622877e-08,4.4902354576303224e-11
490.0,6.7948635795e-08,5.084804167842924e-11
491.0,6.8026779168e-08,4.629363466439297e-11
492.0,6.809659951099999e-08,4.182457423207077e-11
493.0,6.816095151900001e-08,4.182291123121827e-11
494.0,6.8223069582e-08,4.677163292912599e-11
495.0,6.827686376800001e-08,4.7372266373475345e-11
496.0,6.832817205499998e-08,4.740622234523594e-11
497.0,6.8385320162e-08,4.350844967783328e-11
498.0,6.8421348372e-08,4.537698691849146e-11
499.0,6.8455512265e-08,4.5177083218073705e-11
500.0,6.849514307e-08,4.5506611808356303e-11
501.0,6.852582942e-08,4.483215585906971e-11
502.0,6.8546079313e-08,4.5938192053408514e-11
503.0,6.8576765389e-08,4.400142263374517e-11
504.0,6.859738804000001e-08,4.6417131851786455e-11
505.0,6.860558698899999e-08,4.548496161013665e-11
506.0,6.861987430199998e-08,4.464440024409387e-11
507.0,6.8628322936e-08,4.4568402705388144e-11
508.0,6.8634906822e-08,4.7077615543150947e-11
509.0,6.864211173099999e-08,4.3286285151085774e-11
510.0,6.8649814718e-08,4.683367712224926e-11
511.0,6.8654287303e-08,4.744334473728292e-11
512.0,6.863726767199999e-08,5.080876895504203e-11
513.0,6.8622856023e-08,4.369015948750989e-11
514.0,6.860832016e-08,4.400371329481423e-11
515.0,6.859763672499999e-08,4.335641746032562e-11
516.0,6.856819254800001e-08,4.121825919726812e-11
517.0,6.8558750706e-08,4.3068608962020666e-11
518.0,6.8538003856e-08,4.2406916907728096e-11
519.0,6.8509678785e-08,4.130915867712387e-11
520.0,6.847526578e-08,4.2387527965285876e-11
521.0,6.844905257900001e-08,4.175645379357487e-11
522.0,6.8415011891e-08,4.324666617032558e-11
523.0,6.838954391e-08,4.175585901785883e-11
524.0,6.8355627997e-08,3.945941511605331e-11
525.0,6.8319973248e-08,4.224180951017824e-11
526.0,6.827810523e-08,3.636899829093687e-11
527.0,6.823512081100001e-08,4.291817086511982e-11
528.0,6.8197353471e-08,3.873197964628548e-11
529.0,6.8155734713e-08,4.258074355852857e-11
530.0,6.811411567e-08,4.159598828320809e-11
531.0,6.805659538499999e-08,3.88700270381046e-11
532.0,6.800528695e-08,3.7072889447343904e-11
533.0,6.795758054199999e-08,4.1483007559317945e-11
534.0,6.7902544313e-08,4.261262081155011e-11
535.0,6.7842166513e-08,4.403935287594988e-11
536.0,6.7785640421e-08,4.0494323263280275e-11
537.0,6.772811914799998e-08,4.0273453350448977e-11
538.0,6.7668114807e-08,4.2093923140003e-11
539.0,6.7611214541e-08,4.1568438399340693e-11
540.0,6.7540773327e-08,4.1479378127149736e-11
541.0,6.748176261000001e-08,4.234947839268422e-11
542.0,6.7420266993e-08,4.254431054800311e-11
543.0,6.736224904e-08,4.045429636679135e-11
544.0,6.7300752414e-08,4.3059955762259805e-11
545.0,6.725056138099998e-08,4.56163260164828e-11
546.0,6.7198757138e-08,4.2970272444182706e-11
547.0,6.712930939899999e-08,4.5138949399841614e-11
548.0,6.7078373862e-08,4.205136203727092e-11
549.0,6.7021349823e-08,4.052487494481691e-11
550.0,6.696991690100001e-08,4.2239676662806494e-11
551.0,6.6921713972e-08,4.162451440628477e-11
552.0,6.6865808608e-08,4.230505307992116e-11
553.0,6.6814126575e-08,4.221833815565245e-11
554.0,6.6767664039e-08,4.615385684135872e-11
555.0,6.671821779500001e-08,3.895545131686969e-11
556.0,6.667510788999999e-08,4.0518873382089234e-11
557.0,6.663883155400001e-08,4.629711002951541e-11
558.0,6.6604295341e-08,4.268553522019806e-11
559.0,6.6576218099e-08,4.3276014975364834e-11
560.0,6.6551494478e-08,4.419991647764966e-11
561.0,6.652478532099999e-08,4.1429715148629845e-11
562.0,6.651198802e-08,4.76655070511217e-11
563.0,6.650329254500001e-08,4.247035269631784e-11
564.0,6.649447172599999e-08,4.6146122482934674e-11
565.0,6.648987437699999e-08,5.1027988838290345e-11
566.0,6.6490992768e-08,4.5625691502079105e-11
567.0,6.6499814159e-08,4.529778210979342e-11
568.0,6.6508509489e-08,4.7209674322764166e-11
569.0,6.6526896771e-08,4.754162865444084e-11
570.0,6.654503507499999e-08,4.664983058929133e-11
571.0,6.657547217599999e-08,4.2216448909005663e-11
572.0,6.6606779256e-08,4.5979203271837875e-11
573.0,6.6634484598e-08,4.416884669682408e-11
574.0,6.666777892300001e-08,3.9163886247366654e-11
575.0,6.670865147999999e-08,4.522086592741582e-11
576.0,6.675871788099999e-08,4.6914202592478736e-11
577.0,6.681015023600002e-08,4.6517757070251256e-11
578.0,6.687711405500001e-08,4.572904466089732e-11
579.0,6.693674635e-08,4.41700605567364e-11
580.0,6.700445282900001e-08,4.519133539387827e-11
581.0,6.7074895324e-08,4.480614253962149e-11
582.0,6.715614390000001e-08,4.362349567058198e-11
583.0,6.722571540799999e-08,4.420752781388798e-11
584.0,6.731081540799999e-08,3.91016594245374e-11
585.0,6.7406600551e-08,4.5828304509113636e-11
586.0,6.7493317026e-08,4.295223632138823e-11
587.0,6.758624407699999e-08,5.172978495014346e-11
588.0,6.7685879943e-08,5.039277469173754e-11
589.0,6.777830904600001e-08,4.847536931545311e-11
590.0,6.788738829799999e-08,4.70248537149806e-11
591.0,6.798913688e-08,4.547441522906121e-11
