wavelengths,power_meas,std_power_meas
515.0,7.912898666800001e-08,6.915088776079344e-11
516.0,7.8997173172e-08,6.733727268968139e-11
517.0,7.885542133000002e-08,6.741961093475269e-11
518.0,7.869565649899999e-08,6.466667172461652e-11
519.0,7.853452544e-08,6.943101293252491e-11
520.0,7.836767721999997e-08,7.0217765123322e-11
521.0,7.8188655263e-08,6.589000966054475e-11
522.0,7.8008639546e-08,6.567775300813667e-11
523.0,7.782738208700001e-08,6.77819117133128e-11
524.0,7.763059458e-08,6.521793861953304e-11
525.0,7.742374365200001e-08,6.36254094477855e-11
526.0,7.720297944200001e-08,7.005125640259337e-11
527.0,7.6997123124e-08,6.560351422074485e-11
528.0,7.6792633623e-08,6.548437135343593e-11
529.0,7.658441817300001e-08,6.698329231747666e-11
530.0,7.6351851137e-08,6.647150424245428e-11
531.0,7.6138416462e-08,7.154013724821294e-11
532.0,7.5930198167e-08,6.779833354357537e-11
533.0,7.5723348794e-08,6.979457337942622e-11
534.0,7.550432343699999e-08,6.650731264785461e-11
535.0,7.5304678835e-08,6.867551439803058e-11
536.0,7.5105283192e-08,6.712765635593612e-11
537.0,7.4922036929e-08,6.788942009985537e-11
538.0,7.4745996554e-08,6.819675238252449e-11
539.0,7.4566104475e-08,6.572254298441233e-11
540.0,7.4386461646e-08,7.156011113733626e-11
541.0,7.422060890099999e-08,6.756057262644447e-11
542.0,7.4052271234e-08,6.514120760171638e-11
543.0,7.3900953913e-08,6.744231971424492e-11
544.0,7.375162368899999e-08,6.818807726591951e-11
545.0,7.3612481369e-08,6.883304554482595e-11
546.0,7.349644646700001e-08,6.222152213081373e-11
547.0,7.3372335691e-08,6.769055318201365e-11
548.0,7.326387915799999e-08,6.339037478538454e-11
549.0,7.316995820600001e-08,6.68977005684144e-11
550.0,7.3082248945e-08,6.879060721877455e-11
551.0,7.301230497e-08,7.086132526250442e-11
552.0,7.2946211288e-08,6.614506341354335e-11
553.0,7.289651833699999e-08,6.846147303535009e-11
554.0,7.2861485314e-08,6.346436735120097e-11
555.0,7.2834028946e-08,6.916955104476195e-11
556.0,7.282483581100001e-08,6.417105145386889e-11
